"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C5","C_0402","3468.57mil","1418.733mil","3468.57mil","1418.733mil","3485.302mil","1418.733mil","T","180.00","100n"
"C1","C_0402","3444.947mil","1529.422mil","3444.947mil","1529.422mil","3461.68mil","1529.422mil","T","180.00","100n"
"M2","Edge-TPU-SOM-model","-2542.992mil","-1638.74mil","2063.308mil","2042.363mil","-2542.992mil","-1638.74mil","T","180.00","Value"
"R66","0402","2435.788mil","350.961mil","2435.788mil","350.961mil","2435.788mil","332.064mil","B","90.00","10k"
"R65","0402","2384.607mil","350.961mil","2384.607mil","350.961mil","2384.607mil","332.064mil","B","90.00","10k"
"R64","0402","2333.426mil","350.961mil","2333.426mil","350.961mil","2333.426mil","332.064mil","B","90.00","10k"
"R63","0402","2282.244mil","350.961mil","2282.244mil","350.961mil","2282.244mil","332.064mil","B","90.00","10k"
"R62","0402","2231.063mil","350.961mil","2231.063mil","350.961mil","2231.063mil","332.064mil","B","90.00","10k"
"R61","0402","2175.945mil","350.961mil","2175.945mil","350.961mil","2175.945mil","332.064mil","B","90.00","10k"
"R10","0402","2952.822mil","1556.982mil","2952.822mil","1556.982mil","2952.822mil","1575.879mil","B","270.00","4k7"
"R4","0402","1332.341mil","1620.185mil","1332.341mil","1620.185mil","1313.443mil","1620.185mil","B","360.00","2k"
"R3","0402","1332.341mil","1585.63mil","1332.341mil","1585.63mil","1313.443mil","1585.63mil","B","360.00","2k"
"R2","0402","1332.341mil","1553.383mil","1332.341mil","1553.383mil","1313.443mil","1553.383mil","B","360.00","2k"
"R60","0402","2030.276mil","358.835mil","2030.276mil","358.835mil","2030.276mil","377.733mil","B","270.00","10k"
"R1","0402","1332.341mil","1513.885mil","1332.341mil","1513.885mil","1313.443mil","1513.885mil","B","360.00","2k"
"L5","0603","3649.672mil","1356.194mil","3649.672mil","1356.194mil","3649.672mil","1384.738mil","T","270.00","BLM18PG330SN1D"
"L3","0603","3446.424mil","1106.536mil","3446.424mil","1106.536mil","3446.424mil","1077.992mil","T","90.00","BLM18PG330SN1D"
"J8","WE_685119136923","1142.006mil","194.969mil","1142.006mil","162.488mil","1283.738mil","304.221mil","T","360.00","685119136923"
"R95","0402","1067.203mil","402.646mil","1067.203mil","402.646mil","1067.203mil","421.544mil","T","270.00","5R6"
"R94","0402","1098.699mil","402.646mil","1098.699mil","402.646mil","1098.699mil","421.544mil","T","270.00","5R6"
"R93","0402","1142.006mil","402.646mil","1142.006mil","402.646mil","1142.006mil","421.544mil","T","270.00","5R6"
"R92","0402","1173.502mil","402.646mil","1173.502mil","402.646mil","1173.502mil","421.544mil","T","270.00","5R6"
"R91","0402","1220.746mil","402.646mil","1220.746mil","402.646mil","1220.746mil","421.544mil","T","270.00","5R6"
"R90","0402","1252.242mil","402.646mil","1252.242mil","402.646mil","1252.242mil","421.544mil","T","270.00","5R6"
"R89","0402","1291.612mil","402.646mil","1291.612mil","402.646mil","1291.612mil","421.544mil","T","270.00","5R6"
"R88","0402","1323.108mil","402.646mil","1323.108mil","402.646mil","1323.108mil","421.544mil","T","270.00","5R6"
"L9","0603","2956.693mil","204.724mil","2956.693mil","204.724mil","2956.693mil","172.638mil","T","90.00","BLM18SG121TN1D"
"L8","0805","2637.166mil","275.591mil","2677.165mil","275.591mil","2677.165mil","275.591mil","T","180.00","742792022"
"IC7","SON-15","1197.124mil","520.756mil","1197.124mil","520.756mil","1305.392mil","557.173mil","T","360.00","TPD8S009"
